,PAY_AMT1,PAY_AMT4,BILL_AMT2,MARRIAGE,AGE,PAY_AMT3,PAY_6,BILL_AMT4,PAY_4,EDUCATION,BILL_AMT6,PAY_2,SEX,BILL_AMT1,PAY_AMT5,PAY_0,PAY_AMT2,PAY_5,BILL_AMT5,PAY_AMT6,PAY_3,BILL_AMT3,LIMIT_BAL,ks,ks_validation1,c
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011937766417144369
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014251026703029977
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08307959103297392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.00017012542798525892
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20245864366395358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0002030917620904735
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30592596402545263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.00024244620170823283
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3966328887527537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0002894266124716752
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47646963542662624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0003455107294592218
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5473020790924694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0004124626382901352
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6095135349298676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0004923882631706741
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6641746180670821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37167472685601843,0.37167472685601843,0.0005878016072274912
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01230617835238181,0.0,0.0,0.0,0.7020875525354144,0.0,0.0,0.0,0.0,0.010937129571119949,0.0,0.0,0.38789409713031253,0.38789409713031253,0.000701703828670383
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03255408942597116,0.0,0.0,0.0,0.713162183442337,0.0,0.0,0.0,0.0,0.07208819620220197,0.0,0.0,0.38789409713031253,0.38789409713031253,0.0008376776400682924
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02711339837580488,0.0,0.0,0.051130323385105564,0.0,0.0,0.0,0.7221757385180917,0.0,0.0,0.0,0.0,0.11115987598019367,0.0,0.0,0.3915374358412333,0.3915374358412333,0.001
